word,frequency
nasty,2
niceness,1
passion,3
invariably,3
connected,15
qualities,7
outwardly,1
passionate,1
slightest,4
married,55
willingly,3
read,44
lines,10
lovers’,1
conversations,2
chapters,1
frigid,1
looked,75
della,2
cruscans,2
seeking,8
reason,53
charmit,1
sad,5
mechanic,1
exercise,6
determining,3
absence,28
where,90
last,116
vast,3
numbers,1
whom,88
pleasure,90
five,32
help,42
doing,25
names,7
chronological,1
order,8
diana,2
vernon,1
argemone,2
lavington,1
beatrix,2
esmond,1
barbara,2
grant,1
occasional,7
companionship,1
preferred,4
competition,4
list,5
page,3
frontispiece,1
iv,3
titlepage,1
v,4
dedication,1
vii,2
heading,29
ix,2
xxv,3
chapter,89
1,1
came,92
down,79
see,152
place”,6
2,2
5,1
“i,301
it”,48
6,2
“i’m,2
tallest”,3
9,1
rode,4
horse”,2
10,1
“when,18
entered”,2
12,1
“she,22
tolerable”,3
15,1
18,1
22,1
“without,3
opening,15
lips”,3
24,1
tailpiece,1
26,1
vi,2
27,1
entreaties,6
several”,3
31,1
“a,15
note,10
bennet”,16
36,1
“cheerful,1
prognostics”,1
40,1
apothecary,4
came”,2
43,1
“covering,2
screen”,2
45,1
“mrs,8
youngest,16
girls”,4
53,1
x,2
60,1
“no,25
stay,40
are”,5
67,1
“piling,2
69,1
xii,2
75,1
xiii,2
78,1
xiv,2
84,1
“protested,4
novels”,2
87,1
xv,2
89,1
xvi,2
95,1
officers,30
shire”,2
97,1
“delighted,2
again”,14
108,1
xviii,2
113,1
“such,3
dancing,22
often,91
seen”,4
118,1
“to,21
assure,41
animated,4
language”,2
132,1
xx,2
139,1
“they,14
entered,38
breakfastroom”,1
143,1
xxi,2
146,1
“walked,2
them”,23
148,1
xxii,2
154,1
“so,6
eloquence”,2
mistaken”,4
161,1
“whenever,2
spoke,45
low,10
voice”,2
166,1
xxiv,2
168,1
175,1
“offended,2
ladies”,7
177,1
“will,6
me”,31
181,1
“on,6
stairs”,2
189,1
“at,6
door”,2
194,1
“in,13
conversation,62
198,1
“lady,6
catherine”,1
“you,99
treasure”,1
200,1
xxx,2
209,1
failed,5
inform,9
211,1
gentlemen,37
accompanied,8
him”,47
213,1
xxxi,2
215,1
xxxii,2
221,1
“accompanied,2
aunt”,7
225,1
looking,29
up”,4
228,1
xxxiv,2
235,1
“hearing,2
called”,2
243,1
xxxvi,2
253,1
“meeting,2
accidentally,5
town”,6
256,1
“his,10
parting,9
obeisance”,2
261,1
“dawson”,2
263,1
elevation,3
feelings”,4
267,1
forgotten,13
leave,63
message”,2
270,1
“how,30
nicely,3
crammed,3
in”,6
272,1
xl,2
278,1
determined,34
speak,69
283,1
colonel,66
miller’s,3
regiment,20
away”,7
285,1
“tenderly,2
flirting”,2
290,1
arrival,31
294,1
“conjecturing,2
date”,2
301,1
xliv,2
318,1
all”,21
321,1
“engaged,3
river”,2
327,1
xlvi,2
334,1
instant,8
lose”,3
339,1
earnest,17
welcome”,2
345,1
post,7
359,1
affair”,5
363,1
xlix,2
368,1
“but,83
370,1
spiteful,3
377,1
“with,7
smile”,2
385,1
listen”,2
393,1
404,1
“jane,3
happened,23
round”,2
415,1
nieces”,2
420,1
“lizzy,9
you”,45
422,1
lvi,2
431,1
“after,2
survey”,2
434,1
out”,9
442,1
efforts,4
448,1
“unable,2
utter,8
syllable”,2
457,1
obsequious,3
civility”,3
466,1
lxi,2
472,1
476,1
·pride,1
prejudice·,1
truth,27
universally,3
acknowledged,20
possession,9
fortune,36
known,56
views,11
entering,9
neighbourhood,26
fixed,22
minds,4
surrounding,2
families,6
rightful,1
property,7
daughters,50
“have,4
netherfield,70
last”,2
replied,103
is”,4
returned,45
“for,16
answer,62
“do,16
cried,91
impatiently,5
tell,67
objection,13
hearing,23
copyright,35
invitation,33
“why,10
says,14
north,6
england,5
monday,9
chaise,10
delighted,23
agreed,12
morris,1
immediately,60
michaelmas,2
servants,12
next,71
week”,1
“what,37
name”,1
“bingley”,1
“is,22
single”,2
“oh,60
thousand,34
affect,4
tiresome,2
thinking,21
marrying,22
design,20
settling,3
here”,7
“design,1
nonsense,6
talk,32
therefore,72
soon,214
comes”,2
occasion,37
girls,42
goor,1
send,24
handsome,34
party”,4
pretend,7
extraordinary,16
grownup,1
beauty”,1
cases,6
of”,3
neighbourhood”,3
“it,61
engage,5
consider,32
establishment,6
sir,66
william,39
new,25
comers,1
not”,8
scrupulous,1
surely,2
glad,35
hearty,2
consent,12
whichever,3
chooses,7
girlsthough,1
throw,8
lizzy”,16
desire,20
lizzy,66
bit,3
nor,71
goodhumoured,7
preference”,1
recommend,12
silly,11
ignorant,16
quickness,3
sisters”,3
abuse,2
children,25
vexing,1
compassion,13
nerves”,2
high,17
nerves,2
friends,50
mention,28
consideration,14
twenty,6
least”,1
“ah,3
suffer”,1
since,56
“depend,1
odd,5
mixture,5
quick,10
parts,6
sarcastic,1
reserve,7
caprice,4
threeandtwenty,3
insufficient,10
understand,28
develope,1
understanding,20
information,27
uncertain,2
temper,25
discontented,2
fancied,7
nervous,4
solace,1
visiting,5
news,32
ii,1
among,25
earliest,6
waited,7
intended,22
assuring,4
evening,70
paid,19
disclosed,1
following,23
observing,12
employed,8
trimming,1
hat,1
suddenly,16
addressed,17
“we,17
likes”,1
mother,106
resentfully,2
“since,3
visit”,1
forget,17
mamma”,3
“that,63
shall,159
meet,30
assemblies,2
promised,21
introduce,11
nieces,10
selfish,7
hypocritical,2
opinion,64
her”,21
i”,3
“and,92
depend,22
serving,1
deigned,3
reply,25
unable,14
began,59
scolding,2
“don’t,2
keep,25
coughing,1
heaven’s,2
sake,22
tear,2
pieces”,1
“kitty,2
discretion,5
coughs”,1
father,111
ill”,5
cough,2
amusement”,1
fretfully,2
ball,30
“tomorrow,1
fortnight”,3
“ay,6
herself”,3
“then,5
advantage,33
“impossible,1
acquainted,23
teasing”,1
honour,42
circumspection,2
fortnight’s,2
acquaintance,57
fortnight,18
venture,5
somebody,7
stand,10
chance,19
act,9
kindness,28
decline,2
office,5
myself”,9
stared,4
“nonsense,1
nonsense”,1
meaning,13
emphatic,1
exclamation”,1
forms,2
introduction,11
stress,1
agree,6
deep,7
reflection,10
extracts”,1
wished,37
sensible,31
adjusting,1
ideas”,1
continued,52
“let,10
return,50
bingley”,13
sick,6
sorry,33
why,43
morning,75
unlucky,8
actually,12
escape,10
now”,8
astonishment,30
wishedthat,1
surpassing,1
tumult,3
joy,10
expected,42
persuade,18
neglect,10
pleased,37
joke,2
gone,60
“now,4
choose”,2
room,106
fatigued,4
raptures,7
excellent,19
door,33
shut,5
amends,4
matter,22
making,33
acquaintances,1
sakes,2
dance,29
ball”,3
“oh”,4
stoutly,1
afraid,37
i’m,1
spent,22
conjecturing,2
dinner,29
iii,1
assistance,13
draw,5
satisfactory,7
various,9
barefaced,1
questions,13
ingenious,2
suppositions,1
distant,5
surmises,1
eluded,1
obliged,29
accept,17
secondhand,1
intelligence,19
neighbour,7
report,17
highly,27
favourable,12
crown,1
meant,26
assembly,8
fond,16
step,16
towards,70
hopes,23
bingley’s,48
entertained,7
“if,41
happily,5
settled,45
netherfield”,3
equally,20
for”,2
sat,38
ten,31
minutes,32
library,19
admitted,9
sight,17
saw,101
somewhat,8
fortunate,14
ascertaining,1
upper,2
window,15
wore,2
coat,4
horse,3
afterwards,32
despatched,4
planned,3
courses,3
credit,26
housekeeping,3
arrived,15
deferred,2
town,61
consequently,10
etc,11
disconcerted,3
imagine,25
hertfordshire,39
fear,22
flying,2
quieted,2
starting,1
followed,25
bring,17
twelve,4
seven,1
grieved,11
comforted,1
instead,20
sisters,70
assemblyroom,1
consisted,2
altogether,8
eldest,22
goodlooking,1
gentlemanlike,8
countenance,30
unaffected,5
air,30
decided,11
brotherinlaw,3
hurst,31
gentleman,30
attention,70
person,46
features,8
mien,1
circulation,2
within,34
entrance,14
having,93
pronounced,10
figure,7
declared,15
handsomer,3
gave,54
disgust,5
turned,43
tide,2
popularity,1
discovered,7
proud,20
estate,19
save,3
forbidding,1
unworthy,4
compared,3
principal,14
people,46
unreserved,3
danced,13
angry,15
closed,6
talked,38
amiable,35
declined,6
introduced,9
walking,26
occasionally,12
proudest,1
hoped,19
amongst,12
violent,10
dislike,23
behaviour,55
sharpened,2
slighted,3
scarcity,1
sit,15
dances,11
standing,13
overhear,2
press,4
join,19
“come,5
darcy”,22
hate,8
yourself,42
stupid,3
dance”,3
detest,3
particularly,33
partner,15
insupportable,3
engaged,35
punishment,5
with”,2
fastidious,2
kingdom,3
met,39
several,22
uncommonly,9
pretty”,1
room”,3
beautiful,15
creature,14
beheld,2
sitting,19
behind,14
“which,4
mean”,5
turning,13
round,17
catching,1
withdrew,5
coldly,2
tolerable,14
tempt,4
enjoy,8
smiles,10
wasting,1
walked,44
remained,23
cordial,3
playful,2
ridiculous,3
passed,61
pleasantly,4
admired,12
twice,13
gratified,13
quieter,1
mentioned,28
accomplished,10
partners,3
learnt,14
spirits,38
longbourn,85
village,6
lived,13
inhabitants,3
regardless,2
curiosity,23
event,21
raised,6
splendid,3
expectations,7
wife’s,3
stranger,11
disappointed,12
asked,40
vexed,8
admire,18
nobody,17
struck,14
going,57
inquired,8
got,25
third,7
king,7
fourth,2
maria,18
fifth,1
sixth,1
boulanger”,1
god’s,1
o,1
sprained,1
ancle,1
dear”,12
excessively,10
charming,18
elegant,14
dresses,1
lace,1
hurst’s,1
gown”,1
interrupted,9
finery,2
seek,8
branch,3
bitterness,5
shocking,5
rudeness,2
lose,10
suiting,1
fancy,19
horrid,3
worth,15
conceited,6
enduring,1
fancying,4
setdowns,1
man”,6
alone,28
cautious,4
praise,22
sister,172
youngman,1
be”,5
“sensible,1
happy,77
ease,17
breeding”,1
handsome”,3
likewise,16
possibly,8
thereby,2
complete”,1
flattered,7
asking,14
expect,35
compliment”,1
“did,8
surprise,34
seeing,59
thanks,14
gallantry,8
stupider,1
person”,3
“dear,5
apt,1
fault,6
ill,44
human,6
life”,6
hasty,5
censuring,1
anyone,22
think”,6
honestly,4
blind,6
follies,4
affectation,3
candour,3
meets,2
everywhere,2
candid,1
ostentation,1
designto,1
everybody’s,2
badbelongs,1
man’s,5
his”,1
“certainly,5
converse,4
brother,57
mistaken,19
listened,21
silence,34
convinced,39
calculated,3
please,13
pliancy,1
unassailed,1
disposed,15
approve,5
deficient,5
goodhumour,11
power,42
chose,16
educated,2
private,11
seminaries,1
pounds,22
habit,7
spending,5
associating,1
entitled,4
meanly,3
respectable,14
circumstance,19
deeply,4
memories,2
brother’s,13
acquired,2
trade,4
inherited,1
amount,2
purchase,6
choice,13
county,6
liberty,6
manor,2
doubtful,2
easiness,3
spend,13
remainder,1
anxious,26
established,7
tenant,1
unwilling,10
preside,1
table,32
home,62
suited,3
tempted,7
accidental,3
recommendation,4
hour,33
situation,37
rooms,8
owner,4
steady,12
spite,23
opposition,3
endeared,1
openness,3
ductility,1
offer,27
appeared,32
dissatisfied,4
strength,6
firmest,2
reliance,3
haughty,3
reserved,7
inviting,3
greatly,14
wherever,8
continually,6
offence,4
meryton,52
sufficiently,5
pleasanter,4
prettier,1
attentive,10
stiffness,2
conceive,3
angel,3
contrary,10
collection,4
smallest,11
received,61
smiled,18
sweet,6
object,47
authorized,3
commendation,7
walk,50
bennets,9
intimate,13
formerly,8
risen,1
knighthood,2
address,19
mayoralty,1
strongly,7
residence,3
market,2
quitting,8
removed,16
mile,6
denominated,1
period,15
lodge,8
importance,22
unshackled,1
occupy,2
solely,4
civil,18
elated,1
render,3
supercilious,1
inoffensive,1
friendly,7
obliging,5
presentation,5
st,7
james’s,5
courteous,1
valuable,9
twentyseven,2
absolutely,18
communicate,3
charlotte”,1
selfcommand,1
choice”,1
“yes,44
better”,7
herindeed,1
didi,1
itbut,1
whatsomething,1
robinson”,1
“perhaps,10
overheard,3
robinson,1
robinson’s,1
prettiest,1
answering,3
question,20
‘oh,1
opinions,7
point’”,1
“upon,7
indeedthat,1
ifbut,1
know”,6
overhearings,1
purpose,18
yours,11
eliza”,3
listening,10
eliza,19
beg,17
lizzy’s,2
illtreatment,1
misfortune,8
night,33
close,9
“are,7
ma’am,7
mistake”,2
to”,3
“miss,11
speaks,2
remarkably,10
agreeable”,3
guess,5
eat,5
somehow,2
carriage,42
hack,1
chaise”,1
long”,4
“another,1
safely,3
promise,17
pride”,4
“does,3
offend,3
excuse,15
everything,59
favour,21
proud”,1
true”,5
easily,26
forgive,9
mortified,5
mine”,3
“pride”,1
piqued,1
solidity,2
reflections,9
failing,2
prone,2
cherish,1
selfcomplacency,1
score,4
imaginary,5
vanity,18
used,20
synonymously,1
vain,20
relates,3
us”,7
pack,2
foxhounds,1
drink,7
bottle,2
wine,3
day”,7
ought”,1
directly”,2
boy,3
argument,5
ended,4
grew,6
goodwill,4
intolerable,2
younger,29
greatest,21
superciliousness,1
treatment,4
